ano,observacao_populacao,municipios
2010,interpolado_por_falta_de_observacao_sidra_no_ano,92
2011,estimativa_oficial_sidra,92
2012,estimativa_oficial_sidra,92
2013,estimativa_oficial_sidra,92
2014,estimativa_oficial_sidra,92
2015,estimativa_oficial_sidra,92
2016,estimativa_oficial_sidra,92
2017,estimativa_oficial_sidra,92
2018,estimativa_oficial_sidra,92
2019,estimativa_oficial_sidra,92
2020,estimativa_oficial_sidra,92
2021,estimativa_oficial_sidra,92
2022,censo_2022_oficial_sidra,92
2023,interpolado_por_falta_de_observacao_sidra_no_ano,92
2024,estimativa_oficial_sidra,92
2025,estimativa_oficial_sidra,92
