familia,desfecho,exposicao,n_modelos,n_alerta_convergencia,mediana_dispersao_qp
negative_binomial,internacoes_i60_i69,temp_med,2,0,11.21390811451716
negative_binomial,internacoes_i60_i69,ur_med,2,0,11.176561036185381
quasipoisson,internacoes_i60_i62,temp_med,9,0,1.0285659745943854
quasipoisson,internacoes_i60_i62,ur_med,9,0,1.0290153941907247
quasipoisson,internacoes_i60_i64,temp_med,9,0,1.0442850831249222
quasipoisson,internacoes_i60_i64,ur_med,9,0,1.04505072296569
quasipoisson,internacoes_i60_i69,temp_med,7,0,1.4639000060028793
quasipoisson,internacoes_i60_i69,ur_med,7,0,1.463114207822874
quasipoisson,internacoes_i63,temp_med,8,2,1.0103913779572713
quasipoisson,internacoes_i63,ur_med,8,2,1.0230538725407845
quasipoisson,obitos_i60_i62,temp_med,6,6,0.9336621608286402
quasipoisson,obitos_i60_i62,ur_med,5,5,0.9305545546584543
quasipoisson,obitos_i60_i64,temp_med,9,0,1.0083292306271519
quasipoisson,obitos_i60_i64,ur_med,9,0,1.0122728711993716
quasipoisson,obitos_i60_i69,temp_med,9,0,1.0171122196324631
quasipoisson,obitos_i60_i69,ur_med,9,0,1.018451200552375
quasipoisson,obitos_i63,temp_med,4,4,2666032220941096.5
quasipoisson,obitos_i63,ur_med,5,5,0.8982559448398939
