ano,mes_num,ano_mes,mes,internacoes_i60_i69
2010,1,2010-01-01,janeiro,1573
2010,2,2010-02-01,fevereiro,1216
2010,3,2010-03-01,março,1162
2010,4,2010-04-01,abril,1992
2010,5,2010-05-01,maio,1200
2010,6,2010-06-01,junho,1163
2010,7,2010-07-01,julho,1233
2010,8,2010-08-01,agosto,1206
2010,9,2010-09-01,setembro,1230
2010,10,2010-10-01,outubro,1229
2010,11,2010-11-01,novembro,1028
2010,12,2010-12-01,dezembro,1036
2011,1,2011-01-01,janeiro,2156
2011,2,2011-02-01,fevereiro,1127
2011,3,2011-03-01,março,1105
2011,4,2011-04-01,abril,1205
2011,5,2011-05-01,maio,1281
2011,6,2011-06-01,junho,1354
2011,7,2011-07-01,julho,1416
2011,8,2011-08-01,agosto,1195
2011,9,2011-09-01,setembro,1165
2011,10,2011-10-01,outubro,1235
2011,11,2011-11-01,novembro,1081
2011,12,2011-12-01,dezembro,1115
2012,1,2012-01-01,janeiro,2596
2012,2,2012-02-01,fevereiro,1070
2012,3,2012-03-01,março,1358
2012,4,2012-04-01,abril,1331
2012,5,2012-05-01,maio,1285
2012,6,2012-06-01,junho,1224
2012,7,2012-07-01,julho,1258
2012,8,2012-08-01,agosto,1180
2012,9,2012-09-01,setembro,1222
2012,10,2012-10-01,outubro,1226
2012,11,2012-11-01,novembro,1114
2012,12,2012-12-01,dezembro,1125
2013,1,2013-01-01,janeiro,4172
2013,2,2013-02-01,fevereiro,1044
2013,3,2013-03-01,março,1113
2013,4,2013-04-01,abril,1245
2013,5,2013-05-01,maio,1303
2013,6,2013-06-01,junho,1107
2013,7,2013-07-01,julho,1273
2013,8,2013-08-01,agosto,1249
2013,9,2013-09-01,setembro,1390
2013,10,2013-10-01,outubro,1190
2013,11,2013-11-01,novembro,1173
2013,12,2013-12-01,dezembro,1034
2014,1,2014-01-01,janeiro,1283
2014,2,2014-02-01,fevereiro,1045
2014,3,2014-03-01,março,1425
2014,4,2014-04-01,abril,1011
2014,5,2014-05-01,maio,1180
2014,6,2014-06-01,junho,1585
2014,7,2014-07-01,julho,1434
2014,8,2014-08-01,agosto,1407
2014,9,2014-09-01,setembro,1367
2014,10,2014-10-01,outubro,1492
2014,11,2014-11-01,novembro,1322
2014,12,2014-12-01,dezembro,1256
2015,1,2015-01-01,janeiro,1177
2015,2,2015-02-01,fevereiro,1202
2015,3,2015-03-01,março,1341
2015,4,2015-04-01,abril,1070
2015,5,2015-05-01,maio,1683
2015,6,2015-06-01,junho,1407
2015,7,2015-07-01,julho,1412
2015,8,2015-08-01,agosto,1341
2015,9,2015-09-01,setembro,1202
2015,10,2015-10-01,outubro,1346
2015,11,2015-11-01,novembro,1201
2015,12,2015-12-01,dezembro,1286
2016,1,2016-01-01,janeiro,1606
2016,2,2016-02-01,fevereiro,1218
2016,3,2016-03-01,março,1173
2016,4,2016-04-01,abril,1134
2016,5,2016-05-01,maio,1365
2016,6,2016-06-01,junho,1406
2016,7,2016-07-01,julho,2249
2016,8,2016-08-01,agosto,1341
2016,9,2016-09-01,setembro,1352
2016,10,2016-10-01,outubro,1395
2016,11,2016-11-01,novembro,1116
2016,12,2016-12-01,dezembro,1849
2017,1,2017-01-01,janeiro,1271
2017,2,2017-02-01,fevereiro,1388
2017,3,2017-03-01,março,1239
2017,4,2017-04-01,abril,1175
2017,5,2017-05-01,maio,1414
2017,6,2017-06-01,junho,1459
2017,7,2017-07-01,julho,1538
2017,8,2017-08-01,agosto,1645
2017,9,2017-09-01,setembro,1286
2017,10,2017-10-01,outubro,1459
2017,11,2017-11-01,novembro,1352
2017,12,2017-12-01,dezembro,1399
2018,1,2018-01-01,janeiro,1447
2018,2,2018-02-01,fevereiro,1264
2018,3,2018-03-01,março,1356
2018,4,2018-04-01,abril,1358
2018,5,2018-05-01,maio,1706
2018,6,2018-06-01,junho,1634
2018,7,2018-07-01,julho,1561
2018,8,2018-08-01,agosto,1660
2018,9,2018-09-01,setembro,1515
2018,10,2018-10-01,outubro,1592
2018,11,2018-11-01,novembro,1509
2018,12,2018-12-01,dezembro,1412
2019,1,2019-01-01,janeiro,1594
2019,2,2019-02-01,fevereiro,1306
2019,3,2019-03-01,março,1449
2019,4,2019-04-01,abril,1354
2019,5,2019-05-01,maio,1636
2019,6,2019-06-01,junho,1454
2019,7,2019-07-01,julho,1966
2019,8,2019-08-01,agosto,1745
2019,9,2019-09-01,setembro,1535
2019,10,2019-10-01,outubro,1611
2019,11,2019-11-01,novembro,1576
2019,12,2019-12-01,dezembro,1389
2020,1,2020-01-01,janeiro,1661
2020,2,2020-02-01,fevereiro,1364
2020,3,2020-03-01,março,1298
2020,4,2020-04-01,abril,1216
2020,5,2020-05-01,maio,1248
2020,6,2020-06-01,junho,1447
2020,7,2020-07-01,julho,1760
2020,8,2020-08-01,agosto,1524
2020,9,2020-09-01,setembro,1405
2020,10,2020-10-01,outubro,1580
2020,11,2020-11-01,novembro,1504
2020,12,2020-12-01,dezembro,1274
2021,1,2021-01-01,janeiro,1401
2021,2,2021-02-01,fevereiro,1317
2021,3,2021-03-01,março,1337
2021,4,2021-04-01,abril,1463
2021,5,2021-05-01,maio,1493
2021,6,2021-06-01,junho,1556
2021,7,2021-07-01,julho,1846
2021,8,2021-08-01,agosto,1678
2021,9,2021-09-01,setembro,1612
2021,10,2021-10-01,outubro,1716
2021,11,2021-11-01,novembro,1632
2021,12,2021-12-01,dezembro,1720
2022,1,2022-01-01,janeiro,1477
2022,2,2022-02-01,fevereiro,1449
2022,3,2022-03-01,março,1681
2022,4,2022-04-01,abril,1700
2022,5,2022-05-01,maio,1882
2022,6,2022-06-01,junho,1833
2022,7,2022-07-01,julho,2069
2022,8,2022-08-01,agosto,1967
2022,9,2022-09-01,setembro,1980
2022,10,2022-10-01,outubro,1835
2022,11,2022-11-01,novembro,1832
2022,12,2022-12-01,dezembro,1728
2023,1,2023-01-01,janeiro,2007
2023,2,2023-02-01,fevereiro,1616
2023,3,2023-03-01,março,1909
2023,4,2023-04-01,abril,1871
2023,5,2023-05-01,maio,2019
2023,6,2023-06-01,junho,1948
2023,7,2023-07-01,julho,2083
2023,8,2023-08-01,agosto,1989
2023,9,2023-09-01,setembro,1798
2023,10,2023-10-01,outubro,1891
2023,11,2023-11-01,novembro,1836
2023,12,2023-12-01,dezembro,1712
2024,1,2024-01-01,janeiro,1898
2024,2,2024-02-01,fevereiro,1681
2024,3,2024-03-01,março,1810
2024,4,2024-04-01,abril,1716
2024,5,2024-05-01,maio,1787
2024,6,2024-06-01,junho,1805
2024,7,2024-07-01,julho,1986
2024,8,2024-08-01,agosto,1855
2024,9,2024-09-01,setembro,1786
2024,10,2024-10-01,outubro,1846
2024,11,2024-11-01,novembro,1821
2024,12,2024-12-01,dezembro,1701
2025,1,2025-01-01,janeiro,1795
2025,2,2025-02-01,fevereiro,1539
2025,3,2025-03-01,março,1744
2025,4,2025-04-01,abril,1882
2025,5,2025-05-01,maio,2033
2025,6,2025-06-01,junho,1931
2025,7,2025-07-01,julho,2092
2025,8,2025-08-01,agosto,1989
2025,9,2025-09-01,setembro,1861
2025,10,2025-10-01,outubro,1665
2025,11,2025-11-01,novembro,1244
2025,12,2025-12-01,dezembro,846
